date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2021-01-27,0.19735673,0.8177386,4,2,0.24134423,4
2021-01-28,0.089385495,0.55666006,8,0,0.16057436,8
2021-01-29,-0.27000505,0.48625422,5,1,-0.5552743,5
2021-02-01,0.8400278,0.0,2,2,840027.8,2
2021-02-02,0.066934675,0.6043928,4,0,0.110746786,4
2021-02-03,0.81267786,0.14927271,2,2,5.444213,2
2021-02-04,0.1480734,0.93804646,5,1,0.15785278,5
2021-02-05,0.1713463,0.5331999,8,4,0.32135412,8
2021-02-07,0.13202158,0.43101293,4,0,0.30630466,4
2021-02-08,0.37874675,0.6374516,17,9,0.59415674,17
2021-02-09,0.1648844,0.37864482,6,2,0.43545812,6
2021-02-10,0.30905056,0.6562256,9,3,0.47095096,9
2021-02-11,0.6185465,0.22424427,9,9,2.758348,9
2021-02-12,0.8558806,0.0,1,1,855880.6,1
2021-02-13,0.75151235,0.10395826,4,4,7.2289124,4
2021-02-14,0.83598936,0.0,2,2,835989.4,2
2021-02-15,0.7601023,0.1536819,2,2,4.945913,2
2021-02-16,0.18881702,1.0140972,2,0,0.18619205,2
2021-02-17,0.4064406,0.43996906,10,8,0.9237914,10
2021-02-18,0.46527103,0.49380755,11,9,0.9422093,11
2021-02-19,0.47757074,0.38468587,13,11,1.2414532,13
2021-02-20,0.602167,0.595807,5,3,1.0106729,5
2021-02-21,0.8217535,0.0,1,1,821753.5,1
2021-02-22,0.14212671,0.3818845,10,4,0.372171,10
2021-02-23,0.26246452,0.45840332,8,2,0.5725612,8
2021-02-24,0.21530056,0.59847736,5,3,0.3597466,5
2021-02-25,0.43272695,0.37532234,10,10,1.1529443,10
2021-02-26,0.45523706,0.5569063,18,12,0.81743777,18
2021-02-27,0.08658413,0.8465966,3,1,0.10227306,3
2021-03-01,0.08180367,0.61562675,8,0,0.13287847,8
2021-03-02,-0.045603897,0.5394538,14,2,-0.08453701,14
2021-03-03,0.19655946,0.45210284,5,1,0.43476617,5
2021-03-04,0.087417535,0.59462404,13,5,0.14701287,13
2021-03-05,0.13592549,0.48204395,18,4,0.2819768,18
2021-03-06,0.090682305,0.03709577,2,2,2.44448,2
